"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
4706,"SHERMAN MARKET","2606 FRANKLIN ST ","San Francisco","CA","94123","37.798434","-122.425566",""
4707,"FRANKLIN MARKET","2836 FRANKLIN ST ","San Francisco","CA","94123","37.800668","-122.426067",""
4708,"GREEN STREET MARKET","1898 GREEN ST ","San Francisco","CA","94123","37.796828","-122.430234",""
4713,"JOCELIN'S BAKERY","3566 20TH ST ","San Francisco","CA","94110","37.758578","-122.420372","+14155581094"
4716,"MICHAELIS WINE & SPIRITS","2198 UNION ST ","San Francisco","CA","94123","37.797138","-122.435334","+14155925700"
4718,"MAY FLOWER MKT.","2498 FILLMORE ST ","San Francisco","CA","94115","37.792455","-122.434474",""
472,"MONA LISA RESTAURANT","353 COLUMBUS AVE ","San Francisco","CA","94133","37.798526","-122.407657",""
4723,"STARLIGHT MARKET","402 ELLIS ST ","San Francisco","CA","94102","37.784946","-122.412873",""
4729,"PARADISE COFFEE & DONUT","453 O'FARRELL ST ","San Francisco","CA","94102","37.785846","-122.412207",""
473,"CAFFE GRECO","423 COLUMBUS AVE ","San Francisco","CA","94133","37.79886","-122.408204",""
4731,"RIGHT WAY MARKET & DELI","596 O'FARRELL ST ","San Francisco","CA","94102","37.785648","-122.414414",""
4732,"BREAD & BUTTER MARKET","888 O'FARRELL ST ","San Francisco","CA","94109","37.785068","-122.418983",
4733,"J & D GROCERY","1042 POLK ST ","San Francisco","CA","94109","37.786162","-122.419718","+14155679656"
4734,"LUCCA DELICATESSEN","2120 CHESTNUT ST ","San Francisco","CA","94123","37.800568","-122.438354",""
4736,"SAN FRANCISCO SOUP COMPANY","142 02ND ST ","San Francisco","CA","94105","37.787368","-122.399039",""
4739,"LEE'S DELI","525 MARKET ST ","San Francisco","CA","94105","37.790697","-122.399563",""
4746,"LEE'S DELI","170 SPEAR ST ","San Francisco","CA","94105","37.791588","-122.39292",""
4749,"ALL STARS DONUTS","399 05TH ST ","San Francisco","CA","94103","37.779115","-122.401836","+14155462958"
475,"MARA'S","503 COLUMBUS AVE ","San Francisco","CA","94133","37.799501","-122.409084",""
4753,"TAN'S CAFE III","155 FRANCISCO ST ","San Francisco","CA","94133","37.805286","-122.408075",""
4754,"NEW RUSSIAN HILL MARKET","1198 PACIFIC AVE ","San Francisco","CA","94133","37.795951","-122.414986",""
4755,"AUNT FANNY'S HOT PRETZELS","PIER 39  LOT 12","San Francisco","CA","94133","37.802479","-122.411234",""
4757,"WAFFLE CONE SHOP","PIER 39  SPACE B4","San Francisco","CA","94133","37.80824","-122.410189",""
4762,"CHOWDER HUT","2890 TAYLOR ST ","San Francisco","CA","94133","37.808616","-122.415779",""
477,"IL POLLAIO","555 COLUMBUS AVE ","San Francisco","CA","94133","37.800036","-122.409817",""
4770,"SUSIE'S CAFE","603 07TH ST ","San Francisco","CA","94103","37.772894","-122.402972",""
4774,"BAYSIDE MARKET","120 BRANNAN ST ","San Francisco","CA","94107","37.78416","-122.389239","+14155220151"
4777,"SOUTH BEACH CAFE","800 EMBARCADERO ST ","San Francisco","CA","94107","37.781556","-122.388484",""
4780,"BRAINWASH CAFE","1122 FOLSOM ST ","San Francisco","CA","94103","37.776254","-122.408529","+14155863663"
4782,"CANTON DIM SUM HOUSE","655 FOLSOM ST 1/F","San Francisco","CA","94107","37.784557","-122.397932",""
4787,"TONY BALONEY'S","1098 HOWARD ST ","San Francisco","CA","94103","37.778033","-122.40943","+14155861514"
4789,"WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA","1231 MARKET ST ","San Francisco","CA","94103","37.778357","-122.415182","+14155628000"
479,"RISTORANTE IDEALE","1309 GRANT AVE ","San Francisco","CA","94133","37.799003","-122.407274",""
4791,"SOUTH PARK CAFE","108 SOUTH PARK ST ","San Francisco","CA","94107","37.781564","-122.394369",""
4792,"CAFFE CENTRO","102 SOUTH PARK ST ","San Francisco","CA","94107","37.781664","-122.394239",""
4794,"VICTOR'S","210 TOWNSEND ST ","San Francisco","CA","94107","37.778634","-122.393089","+14155607018"
4797,"GOOD LIFE GROCERY, THE","448 CORTLAND AVE ","San Francisco","CA","94110","37.739053","-122.416683","+14155643221"
4798,"M & M SHORTSTOP","2145 GENEVA AVE ","San Francisco","CA","94134","37.708427","-122.420353",""
48,"ART'S CAFE","747 IRVING ST ","San Francisco","CA","94122","37.764013","-122.465749",""
480,"MO'S GRILL","1322 GRANT AVE ","San Francisco","CA","94133","37.799058","-122.407217",""
