"business_id","Score","date","type"
380,"100","20121221","routine"
380,"100","20120613","routine"
380,"96","20111220","routine"
380,"96","20110518","routine"
380,"98","20100907","routine"
383,"94","20130110","routine"
383,"94","20120606","routine"
383,"92","20111205","routine"
383,"96","20110531","routine"
383,"94","20100802","routine"
384,"94","20121210","routine"
384,"91","20120514","routine"
384,"96","20111117","routine"
384,"94","20110511","routine"
384,"93","20101116","routine"
385,"100","20130415","routine"
385,"94","20120917","routine"
385,"80","20120426","routine"
385,"71","20111107","routine"
385,"83","20110526","routine"
385,"85","20100824","routine"
386,"94","20121211","routine"
386,"92","20120110","routine"
386,"83","20110701","routine"
386,"91","20110112","routine"
389,"100","20130228","routine"
389,"100","20120427","routine"
389,"100","20110927","routine"
389,"100","20110318","routine"
389,"100","20101013","routine"
393,"96","20130429","routine"
393,"98","20120912","routine"
393,"98","20120221","routine"
393,"85","20110810","routine"
393,"83","20110204","routine"
394,"100","20130509","routine"
394,"100","20120921","routine"
394,"100","20111221","routine"
394,"98","20110722","routine"
395,"100","20130509","routine"
395,"100","20120921","routine"
395,"100","20111221","routine"
395,"100","20110722","routine"
397,"100","20120921","routine"
397,"87","20111221","routine"
397,"87","20110725","routine"
397,"94","20110722","routine"
397,"96","20110119","routine"
398,"100","20120907","routine"
398,"100","20120119","routine"
398,"100","20110519","routine"
398,"100","20101109","routine"
400,"98","20120524","routine"
400,"100","20111109","routine"
400,"100","20110310","routine"
401,"100","20130228","routine"
401,"100","20120427","routine"
401,"100","20110929","routine"
401,"100","20110128","routine"
403,"92","20121120","routine"
403,"92","20120611","routine"
403,"96","20111222","routine"
403,"92","20110712","routine"
403,"90","20101220","routine"
404,"96","20130109","routine"
404,"98","20120425","routine"
404,"94","20110919","routine"
404,"100","20110318","routine"
404,"100","20101129","routine"
409,"100","20120514","routine"
409,"96","20110623","routine"
409,"90","20101207","routine"
413,"76","20120904","routine"
413,"79","20110726","routine"
413,"78","20101206","routine"
415,"87","20130110","routine"
415,"98","20120322","routine"
415,"80","20110718","routine"
415,"90","20110209","routine"
415,"74","20100729","routine"
420,"88","20121105","routine"
420,"88","20111129","routine"
420,"88","20110520","routine"
421,"94","20130510","routine"
421,"98","20121012","routine"
421,"100","20120207","routine"
421,"96","20110809","routine"
421,"87","20110121","routine"
421,"94","20101019","routine"
422,"83","20130128","routine"
422,"92","20120207","routine"
422,"82","20110803","routine"
422,"82","20101206","routine"
423,"98","20120201","routine"
423,"100","20110725","routine"
423,"98","20101223","routine"
424,"100","20121119","routine"
424,"96","20120417","routine"
424,"90","20111006","routine"
424,"100","20110412","routine"
425,"87","20121026","routine"
425,"96","20120322","routine"
425,"75","20110816","routine"
425,"96","20101208","routine"
425,"75","20100611","routine"
428,"100","20130314","routine"
428,"100","20120928","routine"
428,"100","20120327","routine"
428,"100","20110908","routine"
428,"100","20110218","routine"
428,"100","20100917","routine"
429,"96","20121115","routine"
429,"98","20120326","routine"
429,"96","20110825","routine"
429,"89","20110218","routine"
430,"98","20121114","routine"
430,"89","20120309","routine"
430,"89","20110811","routine"
430,"72","20101216","routine"
431,"90","20121114","routine"
431,"92","20120307","routine"
431,"96","20110823","routine"
431,"68","20110120","routine"
431,"88","20100708","routine"
435,"94","20130415","routine"
435,"90","20120719","routine"
435,"98","20111213","routine"
435,"88","20110511","routine"
435,"92","20101019","routine"
436,"80","20120830","routine"
436,"89","20111116","routine"
436,"70","20110225","routine"
436,"85","20100528","routine"
438,"85","20120320","routine"
438,"84","20110616","routine"
438,"80","20101209","routine"
442,"86","20120927","routine"
442,"94","20120320","routine"
442,"78","20110804","routine"
442,"94","20110114","routine"
442,"74","20101020","routine"
442,"77","20100604","routine"
443,"85","20120717","routine"
443,"77","20120210","routine"
443,"79","20111107","routine"
443,"62","20110427","routine"
443,"100","20101007","routine"
444,"90","20130108","routine"
444,"83","20120524","routine"
444,"88","20111026","routine"
444,"92","20110325","routine"
444,"88","20100921","routine"
447,"72","20130103","routine"
447,"86","20120328","routine"
447,"90","20110819","routine"
447,"81","20110127","routine"
447,"79","20100811","routine"
448,"88","20130313","routine"
448,"88","20120822","routine"
448,"65","20120315","routine"
448,"67","20110810","routine"
448,"90","20110106","routine"
448,"64","20100811","routine"
457,"98","20130213","routine"
457,"98","20120417","routine"
457,"98","20110913","routine"
457,"82","20110311","routine"
457,"100","20101129","routine"
462,"100","20121024","routine"
462,"100","20120322","routine"
462,"93","20110901","routine"
462,"96","20110216","routine"
463,"94","20130329","routine"
463,"74","20120724","routine"
463,"90","20111212","routine"
463,"84","20110623","routine"
463,"100","20101020","routine"
467,"88","20121002","routine"
467,"86","20111130","routine"
467,"82","20110318","routine"
467,"77","20100921","routine"
468,"85","20121114","routine"
468,"89","20111129","routine"
468,"83","20110406","routine"
468,"90","20100817","routine"
469,"64","20121218","routine"
469,"89","20111209","routine"
469,"84","20110523","routine"
469,"65","20101008","routine"
470,"89","20130416","routine"
470,"94","20130102","routine"
470,"91","20120419","routine"
470,"90","20110823","routine"
470,"94","20110105","routine"
472,"90","20130314","routine"
472,"77","20120522","routine"
472,"86","20111107","routine"
472,"86","20110314","routine"
472,"82","20100914","routine"
473,"70","20121106","routine"
473,"83","20120522","routine"
473,"96","20111026","routine"
473,"94","20110315","routine"
473,"77","20100921","routine"
475,"83","20130208","routine"
475,"94","20120829","routine"
475,"86","20111122","routine"
475,"88","20110509","routine"
475,"88","20100921","routine"
477,"90","20130226","routine"
477,"92","20120612","routine"
477,"86","20120130","routine"
477,"92","20110523","routine"
477,"90","20101019","routine"
479,"98","20130122","routine"
479,"84","20120326","routine"
479,"98","20110927","routine"
479,"90","20110316","routine"
480,"88","20130314","routine"
480,"89","20120904","routine"
480,"90","20111115","routine"
480,"98","20110509","routine"
480,"92","20101102","routine"
482,"76","20120126","routine"
482,"92","20110623","routine"
483,"98","20130328","routine"
483,"90","20120910","routine"
483,"94","20111107","routine"
483,"94","20110509","routine"
484,"89","20130122","routine"
484,"90","20120524","routine"
484,"96","20110927","routine"
484,"90","20110214","routine"
485,"92","20130415","routine"
485,"94","20120829","routine"
485,"96","20120130","routine"
485,"94","20110519","routine"
485,"98","20101007","routine"
486,"98","20130328","routine"
486,"100","20120912","routine"
486,"98","20111129","routine"
486,"98","20110413","routine"
486,"93","20100921","routine"
488,"98","20121019","routine"
488,"98","20120302","routine"
488,"94","20110818","routine"
488,"87","20110209","routine"
488,"94","20100812","routine"
489,"64","20120719","routine"
489,"71","20111025","routine"
489,"68","20110228","routine"
489,"48","20101109","routine"
493,"74","20121128","routine"
493,"79","20111102","routine"
493,"94","20110401","routine"
494,"89","20130109","routine"
494,"86","20111207","routine"
494,"88","20110506","routine"
495,"78","20130117","routine"
495,"86","20120524","routine"
495,"84","20111118","routine"
495,"73","20110520","routine"
495,"83","20101026","routine"
496,"88","20121101","routine"
496,"87","20111215","routine"
